vid,code,url,name
identifier_types,agorha,http://agorha.inha.fr/,AGORHA (Accès Global et Organisé aux Ressources en Histoire de l'Art) 
identifier_types,agrovoc,,AGROVOC multilingual agricultural thesaurus (Rome: APIMONDIA)
identifier_types,allmovie,http://www.allmovie.com/,AllMovie 
identifier_types,allmusic,http://www.allmusic.com/,AllMusic 
identifier_types,allocine,http://www.allocine.fr/,AlloCiné 
identifier_types,amnbo,http://www.anb.org/,American National Biography Online 
identifier_types,ansi,,American National Standards Institute and National Information Standards Organisation number for an ANSI or ANSI/NISO standard
identifier_types,archinl,https://www.archinform.net/ort/index.htm,archINFORM index of locations 
identifier_types,archinpe,https://www.archinform.net/arch/index.htm,archINFORM index of persons 
identifier_types,archinpr,https://www.archinform.net/,archINFORM projects 
identifier_types,archna,https://archnet.org/,Archnet authorities 
identifier_types,archns,https://archnet.org/,Archnet sites 
identifier_types,ark,https://n2t.net/e/ark_ids.html,Archival Resource Key (ARK) Identifiers 
identifier_types,arkid,,arkid
identifier_types,artsy,https://www.artsy.net/,Artsy 
identifier_types,artukart,https://artuk.org/discover/artists,Art UK Artists 
identifier_types,artukaw,https://artuk.org/discover/artworks,Art UK Artworks 
identifier_types,atg,https://agclass.nal.usda.gov/,"Agricultural Thesaurus and Glossary (Beltsville, MD: National Agricultural Library) "
identifier_types,balat,http://balat.kikirpa.be/search_people.php,BALaT (Belgian Art Links and Tools) People & Institutions 
identifier_types,bbcth,http://www.bbc.co.uk/things/,BBC Things 
identifier_types,bdusc,http://bioguide.congress.gov/,Biographical Directory of the United States Congress (United States Congress) 
identifier_types,belvku,http://digital.belvedere.at/people/,Belvedere Künstler 
